Username                   GitCred
==================================
sorbits                    10.00
joachimm                   9.77
rails                      9.69
yui                        9.38
jeresig                    9.20
37signals                  9.08
defunkt                    8.85
technoweenie               8.61
jquery                     8.49
ryanb                      8.46
wycats                     8.36
mojombo                    8.23
dhh                        8.18
textmate                   8.08
thoughtbot                 7.87
drnic                      7.69
leah                       7.61
whymirror                  7.60
jamis                      7.53
erica                      7.45
rtomayko                   7.40
pjhyett                    7.38
simonw                     7.37
topfunky                   7.34
schacon                    7.34
facebook                   7.27
ry                         7.26
josh                       7.17
madrobby                   7.16
pkrumins                   7.16
miyagawa                   7.13
sstephenson                7.10
kneath                     7.10
davglass                   7.05
igrigorik                  7.04
tmm1                       7.04
mootools                   7.03
datamapper                 7.01
github                     6.95
jeremymcanally             6.94
richhickey                 6.90
nakajima                   6.87
macournoyer                6.86
joehewitt                  6.84
bmizerany                  6.82
tekkub                     6.81
jeremy                     6.81
binarylogic                6.81
al3x                       6.73
foca                       6.70
jimweirich                 6.67
courtenay                  6.66
tuaw                       6.66
android                    6.61
ericflo                    6.60
Caged                      6.59
gilesbowkett               6.59
mislav                     6.55
egspoony                   6.55
breakpointer               6.55
tlrobinson                 6.54
osteele                    6.54
rsutphin                   6.54
jnunemaker                 6.54
ezmobius                   6.53
yahoo                      6.51
digg                       6.50
fauna                      6.49
mattly                     6.46
tenderlove                 6.46
entp                       6.43
jezdez                     6.43
tpope                      6.40
akitaonrails               6.40
brandonaaron               6.38
jchris                     6.37
scrooloose                 6.37
maddox                     6.36
dustin                     6.33
juliamae                   6.31
packagethief               6.30
factoryjoe                 6.30
jbarnette                  6.29
subtleGradient             6.28
imbriaco                   6.28
280north                   6.28
hoverbird                  6.27
mikehostetler              6.27
mmalone                    6.27
brosner                    6.26
php                        6.26
sr                         6.25
matz                       6.25
sinatra                    6.22
hashrocket                 6.22
seattlerb                  6.21
mojodna                    6.19
giraffesoft                6.19
chneukirchen               6.17
nkallen                    6.17
radiant                    6.15
rentzsch                   6.13
technomancy                6.13
dpp                        6.10
sunlightlabs               6.09
ginatrapani                6.09
aslakhellesoy              6.08
adamwiggins                6.07
sproutit                   6.07
evanphx                    6.02
mongodb                    6.00
kentfredric                5.99
revyver                    5.97
towski                     5.96
funtoo                     5.95
trustthevote               5.95
substack                   5.94
KirinDave                  5.92
qrush                      5.92
ebello                     5.91
janl                       5.91
bobtfish                   5.91
timburks                   5.90
atmos                      5.89
why                        5.82
nathansobo                 5.81
joestump                   5.81
dchelimsky                 5.81
rubymaverick               5.80
atebits                    5.79
dan                        5.78
rackspace                  5.78
clintecker                 5.77
ngerakines                 5.77
heroku                     5.73
brynary                    5.72
unclebob                   5.70
jtauber                    5.70
stevedekorte               5.70
dancroak                   5.69
lifo                       5.69
JEG2                       5.69
bradfitz                   5.68
alex                       5.68
RJ                         5.68
technicalpickles           5.67
raggi                      5.65
rabble                     5.65
rafl                       5.64
opscode                    5.64
Xian                       5.64
rcrowley                   5.64
olabini                    5.64
carlosbrando               5.63
mattetti                   5.63
rhomobile                  5.61
ciaran                     5.61
cho45                      5.60
josevalim                  5.59
robey                      5.59
lsegal                     5.58
bjeanes                    5.58
ericholscher               5.58
rssvihla                   5.57
pivotal                    5.57
DefV                       5.57
typester                   5.56
nothingmuch                5.56
manveru                    5.56
dkubb                      5.55
stevej                     5.55
KentBeck                   5.54
raganwald                  5.54
JackDanger                 5.54
pauldix                    5.53
aptana                     5.53
DmitryBaranovskiy          5.53
ujihisa                    5.52
kakutani                   5.52
pinax                      5.52
jmettraux                  5.52
lloyd                      5.50
calendaraboutnothing       5.50
cv                         5.46
methodmissing              5.46
joachimbean                5.45
nzakas                     5.44
rmurphey                   5.44
halorgium                  5.44
lachlanhardy               5.43
Shopify                    5.43
jrockway                   5.43
toolmantim                 5.41
lsmith                     5.40
jacobian                   5.40
melo                       5.39
myobie                     5.39
alloy                      5.39
wonko                      5.38
erlang                     5.38
superfeedr                 5.37
howiworkdaily              5.36
standardpixel              5.36
justinlilly                5.36
apm                        5.36
cauld                      5.36
dysinger                   5.36
yappo                      5.36
eschulte                   5.36
miraglia                   5.35
ice799                     5.35
msweeney                   5.34
joshbuddy                  5.34
ianwhite                   5.34
gregnewman                 5.34
jenny                      5.31
sdesai                     5.31
foxxtrot                   5.31
jlecomte                   5.30
mattn                      5.30
engineyard                 5.29
FooBarWidget               5.29
marcusramberg              5.29
elliottcable               5.28
etexteditor                5.28
marcel                     5.27
chriseppstein              5.27
mmcgrana                   5.26
toastdriven                5.26
freelancing-god            5.25
ryanking                   5.25
franzinc                   5.25
tokuhirom                  5.25
garethr                    5.25
kloots                     5.24
g13n                       5.24
mlinac                     5.24
myabc                      5.24
progrium                   5.23
jcrosby                    5.23
robhudson                  5.22
BenWard                    5.22
sam                        5.22
karmi                      5.21
tjweir                     5.21
m                          5.21
danwrong                   5.20
apparentlymart             5.19
stuarthalloway             5.19
rjbs                       5.19
mtodd                      5.17
dandavison                 5.16
geemus                     5.16
binary42                   5.16
archaelus                  5.16
dbloete                    5.15
kastner                    5.15
joshknowles                5.15
tapajos                    5.14
bradleywright              5.14
skeltoac                   5.14
ars                        5.14
norm                       5.13
NZKoz                      5.12
tobi                       5.11
enormego                   5.11
proutils                   5.11
sartak                     5.09
headius                    5.09
skarab                     5.09
lmorchard                  5.08
yolk                       5.08
kswedberg                  5.06
remy                       5.06
protocool                  5.05
jferris                    5.05
bradchoate                 5.05
machine                    5.05
maccman                    5.04
psychs                     5.04
genki                      5.03
rgrove                     5.02
sandal                     5.02
tolmasky                   5.02
zachinglis                 5.01
bmabey                     5.01
jnewland                   5.01
tog                        5.00
voodootikigod              4.99
mischa                     4.99
tylerhall                  4.99
mchung                     4.99
jacqui                     4.98
guilhermechapiewski        4.98
joyent                     4.97
hassox                     4.97
crafterm                   4.96
blaine                     4.95
tsaleh                     4.94
xaviershay                 4.94
yuiseki                    4.93
kotp                       4.93
svenfuchs                  4.93
hseeberger                 4.93
nkohari                    4.93
chad                       4.92
acme                       4.92
dann                       4.92
nicksieger                 4.92
cliffmoon                  4.91
membrain                   4.91
joshsusser                 4.91
vigetlabs                  4.90
mbleigh                    4.90
seaofclouds                4.90
malsup                     4.89
quirkey                    4.89
funkatron                  4.89
lazyatom                   4.88
nysenatecio                4.87
remi                       4.87
yugui                      4.86
dbussink                   4.85
codahale                   4.85
antirez                    4.84
kwhinnery                  4.84
darwin                     4.84
jqr                        4.84
bruce                      4.84
smtlaissezfaire            4.83
tobie                      4.83
NeilCrosby                 4.82
djspiewak                  4.82
SteveMarshall              4.82
ingydotnet                 4.82
ask                        4.81
fabiokung                  4.81
yob                        4.80
swdyh                      4.80
cypher                     4.80
jvoorhis                   4.79
mxcl                       4.79
tarcieri                   4.78
kriskowal                  4.78
peterc                     4.77
ntalbott                   4.77
tswicegood                 4.77
jamiepittock               4.76
thewtex                    4.76
joearms                    4.76
nathanborror               4.76
mkhl                       4.75
samsoffes                  4.75
rack                       4.75
rubyist                    4.74
ryan-allen                 4.74
cout                       4.74
reductivelabs              4.74
btakita                    4.73
knuckoll                   4.73
joshuaclayton              4.73
brianleroux                4.73
mocra                      4.72
jschementi                 4.72
mootoh                     4.72
auser                      4.72
walf443                    4.71
natdefreitas               4.71
joho                       4.71
atduskgreg                 4.71
AlanQuatermain             4.71
alcides                    4.70
oleganza                   4.70
nddrylliog                 4.69
jwheare                    4.69
lukeredpath                4.69
dira                       4.69
vim-ruby                   4.69
daveman692                 4.69
fiveruns                   4.69
danielharan                4.68
danlucraft                 4.67
svetlyak40wt               4.66
carllerche                 4.66
notahat                    4.66
collectiveidea             4.66
pluginaweek                4.65
simongregory               4.65
adamlindsay                4.65
timcharper                 4.65
cosine                     4.64
waferbaby                  4.63
ubernostrum                4.63
chriseidhof                4.63
ginader                    4.62
langalex                   4.62
relevance                  4.62
kragen                     4.62
Sutto                      4.62
obie                       4.62
sintaxi                    4.62
zapnap                     4.62
benschwarz                 4.61
jugyo                      4.61
justinfrench               4.61
trevorturk                 4.60
gugod                      4.60
mnaberez                   4.60
luke0x                     4.60
astro                      4.60
twleung                    4.59
brendanlim                 4.59
phuang                     4.59
railsmachine               4.59
tomtaylor                  4.58
damog                      4.58
takuma104                  4.57
adamhjk                    4.57
Ovid                       4.56
jessegrosjean              4.56
visionmedia                4.55
coatl                      4.55
mnutt                      4.55
evanmiller                 4.54
ahoward                    4.53
inky                       4.53
shnhrrsn                   4.52
anotherjesse               4.52
cloudhead                  4.52
bgolub                     4.52
ianloic                    4.51
mike-burns                 4.51
julien51                   4.51
ffmike                     4.51
darius                     4.50
boucher                    4.50
c9s                        4.50
tibbe                      4.50
lakiolen                   4.50
djacobs                    4.49
yfactorial                 4.49
robmckinnon                4.49
jyurek                     4.49
mrkurt                     4.49
1Marc                      4.49
patmaddox                  4.49
mjankowski                 4.49
dieseltravis               4.48
clarkware                  4.48
jzaefferer                 4.48
flesler                    4.48
outwestmedia               4.48
jdsharp                    4.48
davidserduke               4.48
rdworth                    4.48
lethain                    4.47
zynga                      4.47
postmodern                 4.47
gogaruco                   4.46
jamesturk                  4.46
jayallen                   4.46
mattmatt                   4.46
radar                      4.46
westbaer                   4.46
kennethkalmer              4.45
rsms                       4.45
nex3                       4.45
glow                       4.45
rocky                      4.44
carldr                     4.44
jamierumbelow              4.44
pedro                      4.44
tablatom                   4.44
cssboy                     4.43
probablycorey              4.43
leto                       4.43
shiflett                   4.43
crnixon                    4.42
radamant                   4.42
sd                         4.41
ap                         4.41
richkilmer                 4.41
jflam                      4.40
progprog                   4.40
jasonm                     4.40
juliasoergel               4.40
lukegalea                  4.40
thewoolleyman              4.40
pragdave                   4.39
wedesoft                   4.39
akosma                     4.39
cschneid                   4.39
nofxx                      4.39
chendo                     4.38
michaelklishin             4.38
davisp                     4.38
cpytel                     4.37
integrity                  4.37
mental                     4.37
caelum                     4.36
mattb                      4.36
mattgallagher              4.36
benhoskings                4.36
djangrrl                   4.35
nealford                   4.35
josephwilk                 4.35
CodeOfficer                4.34
perigrin                   4.34
chrisk                     4.34
robbyrussell               4.34
naoyat                     4.33
ieure                      4.33
millenomi                  4.33
dtsato                     4.33
smparkes                   4.33
pdsphil                    4.33
tommorris                  4.32
erikfrey                   4.31
ReinH                      4.31
viniciusteles              4.31
stevan                     4.31
digi604                    4.30
tonyg                      4.30
rkh                        4.29
brandon                    4.29
greatseth                  4.29
jgarlick                   4.29
therealadam                4.29
dcbriccetti                4.28
hcatlin                    4.28
erlware                    4.27
tastyplannerkevin          4.27
amazingsyco                4.27
gmosx                      4.26
DRMacIver                  4.26
klacke                     4.26
lachie                     4.25
cchandler                  4.24
obra                       4.24
pcalcado                   4.24
activescaffold             4.24
bartTC                     4.23
weavejester                4.23
kohlhofer                  4.23
jseifer                    4.23
slact                      4.23
kishikawakatsumi           4.22
collin                     4.21
miketracy                  4.21
jsierles                   4.20
yaroslav                   4.20
pydanny                    4.20
fesplugas                  4.19
dan-manges                 4.19
cee-dub                    4.18
jicksta                    4.18
erichocean                 4.18
ivana                      4.18
tqbf                       4.17
rvirding                   4.17
sync                       4.17
JacobVorreuter             4.17
michaeldv                  4.17
fnando                     4.16
mza                        4.16
norio-nomura               4.16
haste                      4.16
igal                       4.16
ehersman                   4.16
jtrupiano                  4.16
mamuso                     4.15
northern-bites             4.15
hadley                     4.14
soundcloud                 4.14
whatman75                  4.14
larrytheliquid             4.13
nbibler                    4.13
mschrag                    4.13
njbartlett                 4.13
carlo                      4.13
mcroydon                   4.12
MagLev                     4.12
nshah                      4.12
duncanbeevers              4.11
potionfactory              4.10
ydnar                      4.10
mattknox                   4.10
tylerhunt                  4.09
frsyuki                    4.09
applicake                  4.08
johnboxall                 4.08
brightbox                  4.08
andreiz                    4.08
abhay                      4.08
gstark                     4.07
trey                       4.07
sco                        4.07
insoshi                    4.07
dwillis                    4.07
lrug                       4.07
theory                     4.07
kamicane                   4.06
delynn                     4.06
cwensel                    4.06
bs                         4.05
quag                       4.05
maxlapshin                 4.05
dagolden                   4.05
freakboy3742               4.05
cheeaun                    4.05
jasonwatkinspdx            4.04
lukebayes                  4.04
Manfred                    4.04
bkerley                    4.04
mynyml                     4.04
spullara                   4.03
citrusbyte                 4.03
entangledstate             4.03
kellan                     4.03
orionz                     4.03
jcoglan                    4.03
mrflip                     4.03
railsbridge                4.02
assaf                      4.02
iain                       4.02
lukego                     4.01
ottobehrens                4.01
Sixeight                   4.01
chrisdrackett              4.01
pergesu                    4.01
malcolmt                   4.01
oldmoe                     4.01
harrisj                    4.00
yariv                      4.00
quackingduck               4.00
kballard                   4.00
alexvollmer                3.99
sixapart                   3.99
bitprophet                 3.99
pjones                     3.99
Yuffster                   3.99
spicycode                  3.99
jwiegley                   3.98
doublec                    3.98
skaes                      3.98
ichverstehe                3.98
zenspider                  3.98
tav                        3.98
dwhittle                   3.97
bricas                     3.97
jlongster                  3.97
malkomalko                 3.97
saverio                    3.96
augustl                    3.96
mogeneration               3.96
iamdanw                    3.96
fujin                      3.96
digitarald                 3.96
jamiew                     3.95
francois                   3.95
kevsmith                   3.94
c7                         3.94
jbellis                    3.94
pk11                       3.94
ydn                        3.94
decklin                    3.93
jaimeiniesta               3.93
csshsh                     3.92
linkingpaths               3.92
etnt                       3.92
somic                      3.92
newbamboo                  3.91
edspencer                  3.91
elle                       3.91
knowtheory                 3.91
richcollins                3.91
brianmario                 3.90
markpasc                   3.90
queso                      3.89
rlivsey                    3.89
chuyeow                    3.89
asapnet                    3.89
jmhodges                   3.88
stevenbristol              3.88
migurski                   3.87
daeken                     3.87
browsermedia               3.87
jarib                      3.87
voxeo                      3.86
